,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6
157,7.8500000000000005,-0.012720108032226562,0.10906577110290527,1.5194623470306396,0.037633419036865234,-1.6863338947296143,-0.049300432205200195,0.7383930087089539,0.1475602686405182,0.592846155166626,-3.039579467900057,0.11026151367447934,1.6185815973735402,176.11697247706422,163.8577981651376,153.65271966527197,138.9142259414226,127.48856548856548,163.0852390852391,149.5,167.5,126.5,143.5,100.5,167.5
158,7.9,-0.012910604476928711,0.10950517654418945,1.5190484523773193,0.037993669509887695,-1.6866891384124756,-0.0494694709777832,0.7386438250541687,0.14737942814826965,0.5927696824073792,-3.039151943103858,0.11057367831768841,1.6186395391815267,176.06833712984056,163.872437357631,153.56903765690376,138.97489539748955,127.37966804979253,163.12240663900414,149.5,167.5,126.5,143.5,100.5,167.5
159,7.95,-0.013083934783935547,0.10991692543029785,1.5186636447906494,0.0383298397064209,-1.6870577335357666,-0.049599409103393555,0.7388775944709778,0.1472105085849762,0.592697262763977,-3.0387507381840724,0.1109040964070092,1.6186740816539995,175.9337899543379,163.87671232876713,153.4560669456067,138.92887029288704,127.24843423799582,163.15031315240083,149.5,167.5,126.5,143.5,100.5,167.5
160,8.0,-0.013283014297485352,0.11033940315246582,1.5182216167449951,0.03872370719909668,-1.68739914894104,-0.049785614013671875,0.7391223311424255,0.14702457189559937,0.5926485061645508,-3.038333527565945,0.11120142174065456,1.618738462813493,175.73529411764707,163.86651583710406,153.34864300626305,139.01878914405012,127.15176715176715,163.12889812889813,149.5,167.5,126.5,143.5,100.5,167.5
161,8.05,-0.013484716415405273,0.11072611808776855,1.517883539199829,0.03902149200439453,-1.6877357959747314,-0.049929141998291016,0.7393461465835571,0.14683759212493896,0.5925654172897339,-3.0379487413375785,0.11149947585075667,1.6187540100821025,175.64253393665157,163.90723981900453,153.18672199170123,139.0311203319502,127.05578512396694,163.13636363636363,149.5,167.5,126.5,143.5,100.5,167.5
162,8.1,-0.013659477233886719,0.11115407943725586,1.517535924911499,0.03931784629821777,-1.6880972385406494,-0.0500638484954834,0.7395868301391602,0.14666806161403656,0.5924588441848755,-3.0375327422116536,0.11182191588865514,1.6187935548552712,175.56363636363636,163.93863636363636,153.0852390852391,138.96257796257797,126.92355371900827,163.1095041322314,149.5,167.5,126.5,143.5,100.5,167.5
163,8.15,-0.013834476470947266,0.11161208152770996,1.517115831375122,0.039681434631347656,-1.6884548664093018,-0.050201416015625,0.739844799041748,0.14649827778339386,0.5923715829849243,-3.0370909712254033,0.11213822721900403,1.6188388313086017,175.40091116173122,163.9772209567198,152.9147609147609,138.96673596673597,126.84472049689441,163.12215320910974,149.5,167.5,126.5,143.5,100.5,167.5
164,8.200000000000001,-0.014006376266479492,0.1121222972869873,1.51668381690979,0.04004478454589844,-1.688816785812378,-0.05037426948547363,0.740128219127655,0.1463295817375183,0.5922534465789795,-3.03660487318105,0.11245245952675041,1.6189276209168695,175.29157175398635,163.89749430523918,152.7962577962578,138.95010395010394,126.72314049586777,163.08264462809916,149.5,167.5,126.5,143.5,100.5,167.5
165,8.25,-0.014170408248901367,0.11260557174682617,1.5162928104400635,0.04037117958068848,-1.6891834735870361,-0.050528764724731445,0.7403963208198547,0.1461666077375412,0.5921322107315063,-3.0361441858345,0.11277442127169549,1.6190042237023856,175.11697247706422,163.8577981651376,152.65271966527197,138.9142259414226,126.48856548856548,163.0852390852391,149.5,167.5,126.5,143.5,100.5,167.5
166,8.3,-0.014356136322021484,0.11304831504821777,1.5158798694610596,0.040729522705078125,-1.6895229816436768,-0.05069112777709961,0.740647554397583,0.14599046111106873,0.5920520424842834,-3.0357139758223974,0.11306954676564551,1.6190609163293703,175.06833712984056,163.872437357631,152.58909853249475,138.958071278826,126.37966804979253,163.12240663900414,149.5,167.5,126.5,143.5,100.5,167.5
